stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10216280,2915,"South Haven Rd SB before McClung Ave","",35.952116579233355,-83.8878465534709,,,0,,,0,,
7006709,1960,"Cumberland Ave WB and Market St","",35.96227,-83.917751,,,0,,,0,,
7006710,1032,"Cumberland Ave WB and Locust St","",35.961449,-83.919774,,,0,,,0,,
7006711,2278,"Cumberland Ave WB and 11th St","",35.959299,-83.92423,,,0,,,0,,
7006712,1002,"Cumberland Ave WB and James Agee St","",35.958137,-83.928302,,,0,,,0,,
7006714,2728,"Cumberland WB before 18th St","",35.956147,-83.933615,,,0,,,0,,
7006715,2729,"Cumberland WB mid-block before 22nd St","",35.954329,-83.938417,,,0,,,0,,
7006716,1471,"Kingston Pike WB Mid-block before Concord St","",35.952251,-83.944086,,,0,,,0,,
7006717,2383,"Kingston Pike WB and Lindsay Pl","",35.951396,-83.948155,,,0,,,0,,
7006720,1474,"Cherokee Blvd SB @ Kituwah Tr Outbound","",35.946225,-83.961185,,,0,,,0,,
7006722,1476,"Keowee Ave WB @ Talahi Dr Outbound","",35.936455,-83.960714,,,0,,,0,,
7006724,1458,"Keowee at  Kenesaw","",35.933585,-83.96405,,,0,,,0,,
7007204,1490,"Keowee Ave EB @ Talahi Dr","",35.936398,-83.960567,,,0,,,0,,
7007206,1492,"Cherokee Blvd NB @ Kituwah Tr","",35.946326,-83.960928,,,0,,,0,,
7007208,1494,"Kingston Pike EB at Crescent Bend ","",35.951247,-83.948337,,,0,,,0,,
7007209,1495,"Kingston Pike EB and Alcoa Hwy","",35.952207,-83.943373,,,0,,,0,,
7007210,2644,"Cumberland Ave EB and University Commons Way","",35.953119,-83.941145,,,0,,,0,,
7007211,2281,"Cumberland Ave EB and 21st St","",35.954204,-83.938439,,,0,,,0,,
7007212,2283,"Cumberland Ave EB and Melrose Pl","",35.956302,-83.93289,,,0,,,0,,
7007214,1007,"Cumberland Ave and Phillip Fulmer Way","",35.958045,-83.928163,,,0,,,0,,
7007215,1822,"Cumberland Ave EB and Estabrook Rd","",35.959085,-83.924586,,,0,,,0,,
7007217,2047,"Main St EB and Walnut St","",35.960838,-83.918512,,,0,,,0,,
7007218,1048,"Main St EB and City County Building ","",35.961288,-83.917387,,,0,,,0,,
7007219,2622,"State St NB and Church Avenue","",35.963751,-83.916067,,,0,,,0,,
7007859,1498,"Kingston Pike WB and Mercedes Pl","",35.941072,-83.985334,,,0,,,0,,
